"","mean.growth_Before_PrEP","mean.growth_Early_HAART","mean.growth_Early_TaSP","mean.growth_Harm_reduction","mean.growth_PrEP_COVID19","mean.growth_PrEP_post-COVID19","mean.growth_PrEP_pre-COVID19","mean.growth_STOP_HIVAIDS","stdev.growth_Before_PrEP","stdev.growth_Early_HAART","stdev.growth_Early_TaSP","stdev.growth_Harm_reduction","stdev.growth_PrEP_COVID19","stdev.growth_PrEP_post-COVID19","stdev.growth_PrEP_pre-COVID19","stdev.growth_STOP_HIVAIDS","mean.growth.smooth_Before_PrEP","mean.growth.smooth_Early_HAART","mean.growth.smooth_Early_TaSP","mean.growth.smooth_Harm_reduction","mean.growth.smooth_PrEP_COVID19","mean.growth.smooth_PrEP_post-COVID19","mean.growth.smooth_PrEP_pre-COVID19","mean.growth.smooth_STOP_HIVAIDS","stdev.growth.smooth_Before_PrEP","stdev.growth.smooth_Early_HAART","stdev.growth.smooth_Early_TaSP","stdev.growth.smooth_Harm_reduction","stdev.growth.smooth_PrEP_COVID19","stdev.growth.smooth_PrEP_post-COVID19","stdev.growth.smooth_PrEP_pre-COVID19","stdev.growth.smooth_STOP_HIVAIDS","clusterID","FC.before.during.mean","FC.before.during.mean.smooth"
"79",NA,0.737108627806302,NA,0.0315258511979823,NA,NA,NA,NA,NA,2.3742873398062,NA,0.172792957466345,NA,NA,NA,NA,NA,0.841487969394946,NA,0.0283847300240741,NA,NA,NA,NA,NA,2.3591399923367,NA,0.0479216681503881,NA,NA,NA,NA,240,NA,NA
"80",0.505393217893218,NA,0,0.923076923076923,NA,NA,0,0.180555555555556,0.843304796976318,NA,0,3.32820117735137,NA,NA,0,0.908897937977,0.838726551226551,NA,0,1,NA,NA,0,0.0694444444444444,0.587544314601596,NA,0,3.3166247903554,NA,NA,0,0.228110562655464,245,0,0
"81",NA,0.633673469387755,NA,0.0848484848484849,NA,NA,NA,NA,NA,2.01871734661415,NA,0.317732156508127,NA,NA,NA,NA,NA,0.655498866213152,NA,0.101893939393939,NA,NA,NA,NA,NA,1.90409778913849,NA,0.0754942864307598,NA,NA,NA,NA,164,NA,NA
"82",0.0555555555555556,0.342857142857143,0.154166666666667,0.0555555555555556,0.0545454545454546,0.232323232323232,0,0.0446428571428571,0.272165526975909,2.02837021134844,0.612271089081318,0.471404520791032,0.255840859626733,0.461562006415994,0,0.266571360639714,0.0607638888888889,0.371428571428571,0.136805555555556,0.0555555555555556,0.00454545454545455,0.16986531986532,0,0.0544808201058201,0.0571645768691699,2.03044061120493,0.105798681060331,0.125097770840134,0.021320071635561,0.0588985039883364,0,0.0693992679057426,179,0,0
"83",NA,NA,0.13640873015873,0.944827586206897,NA,NA,NA,0.0394984326018809,NA,NA,0.462955374167873,2.56954501349065,NA,NA,NA,0.211078904607358,NA,NA,0.16765873015873,1.06551724137931,NA,NA,NA,0.0394984326018809,NA,NA,0.163569426550532,2.37131054714511,NA,NA,NA,0.0620689099652718,180,NA,NA
"84",0.254761904761905,NA,0,0.857142857142857,0.0545454545454546,0.333333333333333,0.108974358974359,0.180555555555556,0.695985020933708,NA,0,3.20713490294909,0.255840859626733,0.816496580927726,0.385695065771762,0.908897937977,0.093452380952381,NA,0,0.928571428571429,0.0545454545454546,0.0277777777777778,0.257875457875458,0.180555555555556,0.150203204566129,NA,0,3.19769834807393,0.0509647191437626,0.0680413817439772,0.137187386781029,0.196307860802446,197,0.427749820273185,2.7594316511514
"85",NA,0.623255813953488,NA,0.124961597542243,NA,NA,NA,NA,NA,2.19488986699543,NA,0.433029708492114,NA,NA,NA,NA,NA,0.70077519379845,NA,0.124961597542243,NA,NA,NA,NA,NA,2.07640420227417,NA,0.140225506090359,NA,NA,NA,NA,17,NA,NA
"86",NA,0.292682926829268,0.119047619047619,0.213888888888889,NA,NA,NA,0.056390977443609,NA,1.87408514266327,0.467189500969555,0.945456973578856,NA,NA,NA,0.299031734967583,NA,0.317073170731707,0.108333333333333,0.211111111111111,NA,NA,NA,0.068922305764411,NA,1.87668623363422,0.086646400872711,0.241701066031604,NA,NA,NA,0.0813738541104016,62,NA,NA
"87",0.181818181818182,0.315789473684211,0.0527777777777778,0.286309523809524,NA,NA,NA,0,0.445361771415123,1.94665705356915,0.256161272093822,0.993263997527411,NA,NA,NA,0,0.0151515151515152,0.342105263157895,0.0762152777777778,0.270684523809524,NA,NA,NA,0,0.0371134809512603,1.94903046985007,0.0682363143216175,0.286720188639114,NA,NA,NA,0,83,NA,NA
"88",NA,0.619512195121951,0.0625,0.0515873015873016,NA,NA,NA,0,NA,2.3400020846353,0.302911404785188,0.308270174462428,NA,NA,NA,0,NA,0.792276422764227,0.0624999999999998,0.0515873015873014,NA,NA,NA,-1.48029736616688e-16,NA,2.32898731438561,0.0729324957489473,0.078205252049037,NA,NA,NA,0,99,NA,NA
"89",NA,0.620044296788483,NA,0,NA,NA,NA,NA,NA,2.16317292216262,NA,0,NA,NA,NA,NA,NA,0.766648209671466,NA,1.85037170770859e-17,NA,NA,NA,NA,NA,2.1569740946866,NA,0,NA,NA,NA,NA,165,NA,NA
"90",0.1,0.307692307692308,0,0,0.320265151515152,NA,0.142857142857143,0.180555555555556,0.489897948556636,1.92153784566105,0,0,0.578316184914187,NA,0.506287004190553,0.908897937977,0.0583333333333333,0.333333333333333,0,0,0.356847492784993,NA,0.0695970695970696,0.180555555555556,0.0928611242975073,1.92399438303882,0,0,0.0625410878726066,NA,0.100638117527402,0.249019988387656,207,1.42857142857143,1.19309262166405
"91",0.0555555555555556,0.857142857142857,0.195833333333333,0,NA,NA,0,0.0724206349206349,0.272165526975909,2.86854866240254,0.78441151090465,0,NA,NA,0,0.352279371132634,0.0509259259259259,0.69047619047619,0.170833333333333,0.0625,NA,NA,0.0138888888888889,0.0890873015873016,0.0565530419671168,2.60516885477789,0.292549322991831,0.166519888420082,NA,NA,0.0392837100659193,0.103979495537914,33,0,0.272727272727273
"92",0.121212121212121,NA,0.0833333333333333,0.483870967741935,NA,NA,NA,0.0446428571428571,0.402015126103685,NA,0.577350269189626,1.97311383670227,NA,NA,NA,0.266571360639714,0.0101010101010101,NA,0.0833333333333333,0.5,NA,NA,NA,0.0446428571428571,0.0335012605086404,NA,0.145864991497895,1.52573551196104,NA,NA,NA,0.0979911036549541,51,NA,NA
