"","clusterID","size","firstDate","lastDate","medianDate","meanDate","meanCDbase","medianCDbase","meanVLbase","medianVLbase","meanAgeFARV","medianAgeFARV","meanAge2023","medianAge2023","n_RSK","n_MSM","n_HET","n_IDU","n_BLOOD","n_HCV","n_HCVrep","perc_RSK","perc_MSM","perc_HET","perc_IDU","perc_BLOOD","perc_HCV","n_seroconv_2018","n_seroconv_2022","n_PREP","perc_PREP","n_HAknown","n_HA_Van","n_HA_VanIsl","n_HA_Fras","n_HA_North","n_HA_Int","perc_HAknown","perc_HA_Van","perc_HA_VanIsl","perc_HA_Fras","perc_HA_North","perc_HA_Int","n_subB","n_subC","n_subAE","n_subF","n_subBlike","n_subBrecomb","n_subBDrecomb","active","active22","medium","big","large"
"157","223",7,1996-09-04,2007-10-15,1999-06-14,2000-09-02,241.428571428571,310,109520,93120,42.2857142857143,41,63.147553816047,67.2465753424657,5,2,4,3,0,3,7,71.4285714285714,40,80,60,0,42.8571428571429,0,0,0,NA,7,2,3,1,0,1,100,28.5714285714286,42.8571428571429,14.2857142857143,0,14.2857142857143,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"158","230",7,2007-12-10,2015-08-17,2010-10-21,2011-07-17,255,265,235095.666666667,46144.5,30.8333333333333,31.5,41.6063926940639,42.2246575342466,5,5,0,0,0,2,6,71.4285714285714,100,0,0,0,33.3333333333333,0,0,0,NA,6,4,0,0,1,1,85.7142857142857,66.6666666666667,0,0,16.6666666666667,16.6666666666667,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"159","239",7,2002-08-23,2017-02-11,2007-08-08,2007-07-26,257.142857142857,100,151843.428571429,47543,42.7142857142857,44,55.586301369863,56.813698630137,6,4,1,3,0,1,7,85.7142857142857,66.6666666666667,16.6666666666667,50,0,14.2857142857143,0,0,0,NA,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"160","242",7,1996-08-01,2008-11-17,1997-08-16,1999-12-31,345.714285714286,310,142620.428571429,39800,39.7142857142857,38,59.8825831702544,58.3342465753425,7,0,6,7,0,7,7,100,0,85.7142857142857,100,0,100,0,0,0,NA,7,4,0,2,1,0,100,57.1428571428571,0,28.5714285714286,14.2857142857143,0,7,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"161","244",7,1997-04-18,2018-05-04,2005-05-13,2005-10-21,462.857142857143,450,348126.428571429,100010,40.7142857142857,43,57.0183953033268,58.0438356164384,5,5,0,0,0,1,7,71.4285714285714,100,0,0,0,14.2857142857143,1,0,0,0,7,6,0,1,0,0,100,85.7142857142857,0,14.2857142857143,0,0,7,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
"162","1",6,1996-06-24,1997-08-25,1996-07-09,1996-12-02,332,340,588023.5,588023.5,38,38,62.8295890410959,65.2191780821918,4,4,0,1,0,1,5,66.6666666666667,100,0,25,0,20,0,0,0,NA,5,5,0,0,0,0,83.3333333333333,100,0,0,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"163","4",6,1996-07-08,2009-12-03,2006-03-03,2004-09-05,388.333333333333,245,255173,100010,47.5,44,62.3520547945205,59.8123287671233,6,5,1,1,0,2,6,100,83.3333333333333,16.6666666666667,16.6666666666667,0,33.3333333333333,0,0,0,NA,6,5,0,1,0,0,100,83.3333333333333,0,16.6666666666667,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"164","7",6,1996-06-11,2001-02-06,1998-11-10,1998-11-06,270,220,129366.666666667,88800,37,35,60.5607305936073,61.6383561643836,4,0,3,3,0,3,6,66.6666666666667,0,75,75,0,50,0,0,0,NA,6,2,0,2,1,1,100,33.3333333333333,0,33.3333333333333,16.6666666666667,16.6666666666667,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"165","18",6,1996-07-02,2003-07-21,1999-03-06,1999-09-30,255,160,81007.5,100010,29.8333333333333,29,53.0712328767123,51.6123287671233,5,3,1,1,0,2,6,83.3333333333333,60,20,20,0,33.3333333333333,0,0,0,NA,6,0,0,0,0,6,100,0,0,0,0,100,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
"166","25",6,2005-08-02,2011-12-05,2006-02-23,2007-02-08,393.333333333333,380,330310.5,42083,40.3333333333333,38.5,53.3369863013699,52.5219178082192,2,1,0,2,0,0,6,33.3333333333333,50,0,100,0,0,0,0,0,NA,6,3,1,2,0,0,100,50,16.6666666666667,33.3333333333333,0,0,6,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
